猫 -0.190953 -0.169169 -0.147384 -0.125600 -0.103816 -0.082031 -0.060247 -0.038463 -0.016679 0.005106 0.026890 0.048674 0.070459 0.092243 0.114027 0.135811 0.157596 0.179380 0.201164 -0.202526 -0.180742 -0.158957 -0.137173 -0.115389 -0.093604 -0.071820 -0.050036 -0.028252 -0.006467 0.015317 0.037101 0.058886 0.080670 0.102454 0.124239 0.146023 0.167807 0.189591 0.211376 -0.192314 -0.170530 -0.148746 -0.126962 -0.105177 -0.083393 -0.061609 -0.039824 -0.018040 0.003744 0.025528 0.047313 0.069097 0.090881 0.112666 0.134450 0.156234 0.178018 0.199803 -0.203887 -0.182103 -0.160319 -0.138535 -0.116750 -0.094966
犬 -0.190936 -0.169178 -0.147419 -0.125660 -0.103902 -0.082143 -0.060384 -0.038625 -0.016867 0.004892 0.026651 0.048409 0.070168 0.091927 0.113685 0.135444 0.157203 0.178962 0.200720 -0.202911 -0.181152 -0.159394 -0.137635 -0.115876 -0.094118 -0.072359 -0.050600 -0.028841 -0.007083 0.014676 0.036435 0.058193 0.079952 0.101711 0.123469 0.145228 0.166987 0.188746 0.210504 -0.193127 -0.171368 -0.149610 -0.127851 -0.106092 -0.084334 -0.062575 -0.040816 -0.019057 0.002701 0.024460 0.046219 0.067977 0.089736 0.111495 0.133253 0.155012 0.176771 0.198530 -0.205102 -0.183343 -0.161584 -0.139826 -0.118067 -0.096308
鳥 -0.194572 -0.170867 -0.147163 -0.123458 -0.099753 -0.076048 -0.052343 -0.028638 -0.004933 0.018772 0.042477 0.066182 0.089887 0.113591 0.137296 0.161001 0.184706 0.208411 -0.204438 -0.180734 -0.157029 -0.133324 -0.109619 -0.085914 -0.062209 -0.038504 -0.014799 0.008906 0.032611 0.056316 0.080020 0.103725 0.127430 0.151135 0.174840 0.198545 -0.214305 -0.190600 -0.166895 -0.143190 -0.119485 -0.095780 -0.072075 -0.048370 -0.024665 -0.000960 0.022744 0.046449 0.070154 0.093859 0.117564 0.141269 0.164974 0.188679 0.212384 -0.200466 -0.176761 -0.153056 -0.129351 -0.105646 -0.081941 -0.058236 -0.034532 -0.010827
魚 -0.191749 -0.169469 -0.147188 -0.124908 -0.102627 -0.080347 -0.058066 -0.035786 -0.013505 0.008775 0.031056 0.053336 0.075617 0.097897 0.120178 0.142458 0.164739 0.187019 0.209300 -0.196479 -0.174199 -0.151918 -0.129638 -0.107357 -0.085077 -0.062796 -0.040516 -0.018235 0.004045 0.026326 0.048606 0.070887 0.093167 0.115448 0.137728 0.160009 0.182289 0.204570 -0.201209 -0.178929 -0.156648 -0.134368 -0.112087 -0.089807 -0.067526 -0.045246 -0.022965 -0.000685 0.021596 0.043876 0.066157 0.088437 0.110718 0.132998 0.155279 0.177559 0.199840 -0.205940 -0.183659 -0.161378 -0.139098 -0.116818 -0.094537 -0.072256
馬 -0.194155 -0.170623 -0.147091 -0.123559 -0.100027 -0.076495 -0.052963 -0.029431 -0.005899 0.017633 0.041165 0.064697 0.088229 0.111761 0.135292 0.158824 0.182356 0.205888 -0.205954 -0.182422 -0.158890 -0.135358 -0.111826 -0.088294 -0.064762 -0.041230 -0.017698 0.005834 0.029366 0.052898 0.076430 0.099962 0.123494 0.147026 0.170558 0.194090 0.217622 -0.194220 -0.170688 -0.147156 -0.123624 -0.100092 -0.076560 -0.053029 -0.029497 -0.005965 0.017567 0.041099 0.064631 0.088163 0.111695 0.135227 0.158759 0.182291 0.205823 -0.206019 -0.182487 -0.158955 -0.135423 -0.111891 -0.088359 -0.064827 -0.041295 -0.017763
車 -0.190840 -0.169164 -0.147487 -0.125810 -0.104133 -0.082457 -0.060780 -0.039103 -0.017426 0.004250 0.025927 0.047604 0.069281 0.090957 0.112634 0.134311 0.155988 0.177664 0.199341 -0.204016 -0.182340 -0.160663 -0.138986 -0.117309 -0.095633 -0.073956 -0.052279 -0.030602 -0.008926 0.012751 0.034428 0.056105 0.077781 0.099458 0.121135 0.142811 0.164488 0.186165 0.207842 -0.195516 -0.173839 -0.152162 -0.130486 -0.108809 -0.087132 -0.065455 -0.043779 -0.022102 -0.000425 0.021252 0.042928 0.064605 0.086282 0.107959 0.129635 0.151312 0.172989 0.194666 -0.208692 -0.187015 -0.165338 -0.143661 -0.121985 -0.100308
本 -0.192548 -0.169766 -0.146984 -0.124202 -0.101420 -0.078638 -0.055856 -0.033075 -0.010293 0.012489 0.035271 0.058053 0.080835 0.103617 0.126398 0.149180 0.171962 0.194744 -0.213133 -0.190351 -0.167569 -0.144788 -0.122006 -0.099224 -0.076442 -0.053660 -0.030878 -0.008096 0.014685 0.037467 0.060249 0.083031 0.105813 0.128595 0.151377 0.174158 0.196940 -0.210937 -0.188155 -0.165373 -0.142591 -0.119809 -0.097027 -0.074246 -0.051464 -0.028682 -0.005900 0.016882 0.039664 0.062446 0.085227 0.108009 0.130791 0.153573 0.176355 0.199137 -0.208741 -0.185959 -0.163177 -0.140395 -0.117613 -0.094831 -0.072049 -0.049267
水 -0.196924 -0.172037 -0.147150 -0.122263 -0.097375 -0.072488 -0.047601 -0.022713 0.002174 0.027061 0.051948 0.076836 0.101723 0.126610 0.151497 0.176385 0.201272 -0.217464 -0.192577 -0.167690 -0.142802 -0.117915 -0.093028 -0.068140 -0.043253 -0.018366 0.006521 0.031409 0.056296 0.081183 0.106070 0.130958 0.155845 0.180732 0.205619 -0.213117 -0.188229 -0.163342 -0.138455 -0.113568 -0.088680 -0.063793 -0.038906 -0.014018 0.010869 0.035756 0.060643 0.085531 0.110418 0.135305 0.160192 0.185080 0.209967 -0.208769 -0.183882 -0.158994 -0.134107 -0.109220 -0.084333 -0.059445 -0.034558 -0.009671 0.015216 0.040104
空 -0.197175 -0.172131 -0.147087 -0.122043 -0.096999 -0.071955 -0.046910 -0.021866 0.003178 0.028222 0.053266 0.078310 0.103354 0.128398 0.153442 0.178486 0.203530 -0.215864 -0.190820 -0.165775 -0.140731 -0.115687 -0.090643 -0.065599 -0.040555 -0.015511 0.009533 0.034577 0.059621 0.084665 0.109710 0.134754 0.159798 0.184842 0.209886 -0.209508 -0.184464 -0.159420 -0.134376 -0.109332 -0.084288 -0.059244 -0.034200 -0.009155 0.015889 0.040933 0.065977 0.091021 0.116065 0.141109 0.166153 0.191197 0.216241 -0.203153 -0.178109 -0.153064 -0.128020 -0.102976 -0.077932 -0.052888 -0.027844 -0.002800 0.022244 0.047288
山 -0.196081 -0.171499 -0.146917 -0.122335 -0.097754 -0.073172 -0.048590 -0.024008 0.000574 0.025156 0.049737 0.074319 0.098901 0.123483 0.148065 0.172647 0.197228 -0.219515 -0.194934 -0.170352 -0.145770 -0.121188 -0.096606 -0.072024 -0.047443 -0.022861 0.001721 0.026303 0.050885 0.075467 0.100049 0.124630 0.149212 0.173794 0.198376 -0.218368 -0.193786 -0.169204 -0.144622 -0.120040 -0.095459 -0.070877 -0.046295 -0.021713 0.002869 0.027450 0.052032 0.076614 0.101196 0.125778 0.150360 0.174941 0.199523 -0.217220 -0.192639 -0.168057 -0.143475 -0.118893 -0.094311 -0.069729 -0.045148 -0.020566 0.004016 0.028598
川 -0.193248 -0.170190 -0.147132 -0.124073 -0.101015 -0.077957 -0.054899 -0.031840 -0.008782 0.014276 0.037334 0.060393 0.083451 0.106509 0.129567 0.152626 0.175684 0.198742 -0.210812 -0.187754 -0.164696 -0.141637 -0.118579 -0.095521 -0.072463 -0.049404 -0.026346 -0.003288 0.019770 0.042829 0.065887 0.088945 0.112003 0.135062 0.158120 0.181178 0.204236 -0.205318 -0.182260 -0.159201 -0.136143 -0.113085 -0.090027 -0.066968 -0.043910 -0.020852 0.002206 0.025265 0.048323 0.071381 0.094439 0.117497 0.140556 0.163614 0.186672 0.209731 -0.199824 -0.176765 -0.153707 -0.130649 -0.107591 -0.084532 -0.061474 -0.038416
